PROCEDIMENTO,RN_ALTERACAO,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
ANGIOPLASTIA RENAL,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ANGIOPLASTIA RENAL TRANSLUMINAL,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AUTOTRANSPLANTE RENAL,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA RENAL CIRÚRGICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTO RENAL - ESCLEROTERAPIA PERCUTÂNEA,,,,Ambulatorial,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENDOPIELOTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTENOSE DE JUNÇÃO PIELOURETERAL - TRATAMENTO CIRÚRGICO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA PIELO-CUTÂNEA - TRATAMENTO CIRÚRGICO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LOMBOTOMIA EXPLORADORA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MARSUPIALIZAÇÃO DE CISTOS RENAIS,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRECTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRECTOMIA LAPAROSCÓPICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRECTOMIA COM URETERECTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRO OU PIELOENTEROCISTOSTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"NEFROLITOTOMIA SIMPLES, ANATRÓFICA OU PERCUTÂNEA",,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROLITOTRIPSIA EXTRACORPÓREA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"NEFROLITOTRIPSIA PERCUTÂNEA (PNEUMÁTICA OU PNEUMÁTICO-BALÍSTICA – MEC; ELETROHIDRÁULICA -E.H.; OU ULTRASSOM - U.S.)",,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROLITOTRIPSIA PERCUTÂNEA A LASER,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROPEXIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROPEXIA LAPAROSCÓPICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRORRAFIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROSTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROSTOMIA PERCUTÂNEA,,,,Ambulatorial,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROURETERECTOMIA COM RESSECÇÃO VESICAL,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROURETERECTOMIA COM RESSECÇÃO VESICAL LAPAROSCÓPICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOLITOTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOLITOTOMIA LAPAROSCÓPICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOLITOTOMIA COM NEFROLITOTOMIA SIMPLES OU ANATRÓFICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOPLASTIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOPLASTIA LAPAROSCÓPICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOSTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOTOMIA EXPLORADORA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO ASPIRATIVA RENAL PARA DIAGNÓSTICO DE REJEIÇÃO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO BIÓPSIA RENAL PERCUTÂNEA,,,,Ambulatorial,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REVASCULARIZAÇÃO RENAL,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SINFISIOTOMIA (RIM EM FERRADURA),,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSURETERO ANASTOMOSE,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA FÍSTULA PIELO-INTESTINAL,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR RENAL - ENUCLEAÇÃO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR WILMS - TRATAMENTO CIRÚRGICO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMORES RETRO-PERITONEAIS - EXÉRESE,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DE URETER,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ENDOSCÓPICA DE URETER,,,,Ambulatorial,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CATETERISMO URETERAL,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLOCAÇÃO CIRÚRGICA DE DUPLO J,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLOCAÇÃO ENDOSCÓPICA DE DUPLO J,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLOCAÇÃO NEFROSCÓPICA DE DUPLO J,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLOCAÇÃO URETEROSCÓPICA DE DUPLO J,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO LAPAROSCÓPICA DE REFLUXO VÉSICO-URETERAL,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DILATAÇÃO ENDOSCÓPICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DUPLICAÇÃO PIELOURETERAL - TRATAMENTO CIRÚRGICO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA URETERO-CUTÂNEA (TRATAMENTO CIRÚRGICO),,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA URETERO-INTESTINAL (TRATAMENTO CIRÚRGICO),,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA URETERO-VAGINAL (TRATAMENTO CIRÚRGICO),,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MEATOTOMIA ENDOSCÓPICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REFLUXO VÉSICO-URETERAL - TRATAMENTO ENDOSCÓPICO (COM DIRETRIZ DE UTILIZAÇÃO),,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,122,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"REIMPLANTE URETERAL POR VIA EXTRA, INTRA OU TRANSVESICAL",,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE URETEROINTESTINAL,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE URETEROINTESTINAL LAPAROSCÓPICO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE URETERO-VESICAL,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE URETERO-VESICAL LAPAROSCÓPICO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA ENDOSCÓPICA DE CÁLCULO DE URETER,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSURETEROSTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETERECTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROCELE -TRATAMENTO CIRURGICO OU ENDOSCOPICO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROILEOCISTOSTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROILEOSTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETERÓLISE,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROLITOTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROLITOTRIPSIA EXTRACORPÓREA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROPLASTIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETERORRENOLITOTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETERORRENOLITOTRIPSIA A LASER,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"URETERORRENOLITOTRIPSIA FLEXÍVEL OU RÍGIDA (MEC., E.H., OU US)",,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROSSIGMOIDOPLASTIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROSSIGMOIDOSTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROSTOMIA CUTÂNEA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROTOMIA INTERNA PERCUTÂNEA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROTOMIA INTERNA URETEROSCÓPICA FLEXÍVEL OU RÍGIDA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROURETEROCISTONEOSTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROURETEROSTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROURETEROSTOMIA LAPAROSCÓPICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPLIAÇÃO VESICAL,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BEXIGA PSÓICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ENDOSCÓPICA DE BEXIGA,,,,Ambulatorial,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA VESICAL A CÉU ABERTO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CÁLCULO VESICAL - EXTRAÇÃO ENDOSCÓPICA,,,,Ambulatorial,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTECTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTECTOMIA LAPAROSCÓPICA (INCLUI PRÓSTATA OU ÚTERO),,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOLITOTOMIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOLITOTRIPSIA A LASER,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOLITOTRIPSIA EXTRACORPÓREA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"CISTOLITOTRIPSIA PERCUTÂNEA (U.S., E.H., E.C.)",,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"CISTOLITOTRIPSIA TRANSURETRAL (U.S., E.H., E.C.)",,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOPLASTIA REDUTORA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTORRAFIA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOSTOMIA CIRÚRGICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOSTOMIA COM PROCEDIMENTO ENDOSCÓPICO,,,,Ambulatorial,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOSTOMIA POR PUNÇÃO COM TROCATER,,,,Ambulatorial,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLO DE DIVERTÍCULO - RESSECÇÃO ENDOSCÓPICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLO VESICAL - RESSECÇÃO ENDOSCÓPICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO - EXTRAÇÃO CIRÚRGICA,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO - EXTRAÇÃO ENDOSCÓPICA,,,,Ambulatorial,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DIVERTICULECTOMIA VESICAL,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENTEROCISTOPLASTIA (AMPLIAÇÃO VESICAL),,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXTROFIA EM CLOACA - TRATAMENTO CIRÚRGICO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXTROFIA VESICAL - TRATAMENTO CIRÚRGICO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA VESICAL - TRATAMENTO CIRÚRGICO,,,,,Hospitalar com Obstetrícia,Hospitalar sem Obstetrícia,Plano Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
